,result,max_time,min_time,total_thinking_time,total_move,thinking_time
20,-1,0.27970362,0.24308825,1.772181,7,"0.24799633026123047,0.24899935722351074,0.27970361709594727,0.2430882453918457,0.2595560550689697,0.24403023719787598,0.24880719184875488"
21,-1,0.2909968,0.23884606,1.8347299,7,"0.2500002384185791,0.24499750137329102,0.24899840354919434,0.2830989360809326,0.290996789932251,0.27779197692871094,0.2388460636138916"
22,-1,0.4159975,0.24000072,8.429752,33,"0.2450854778289795,0.24280881881713867,0.24804162979125977,0.24099111557006836,0.26161861419677734,0.2439894676208496,0.24498224258422852,0.24524569511413574,0.24419784545898438,0.2500007152557373,0.24374032020568848,0.28600049018859863,0.2610328197479248,0.24599885940551758,0.24521303176879883,0.2449636459350586,0.26903581619262695,0.24303817749023438,0.4159975051879883,0.24000072479248047,0.2446906566619873,0.24014973640441895,0.2437753677368164,0.27919912338256836,0.24377870559692383,0.25638270378112793,0.2510361671447754,0.2401719093322754,0.2791595458984375,0.2458667755126953,0.2589735984802246,0.24109697341918945,0.24348831176757812"
23,-1,0.3159964,0.24275994,1.8797913,7,"0.2496933937072754,0.29399943351745605,0.24596095085144043,0.3159964084625244,0.2791879177093506,0.24275994300842285,0.2521932125091553"
24,-1,0.42816353,0.23784232,16.778687,64,"0.2460474967956543,0.2599983215332031,0.25368189811706543,0.250166654586792,0.2720043659210205,0.23899579048156738,0.32828402519226074,0.27903151512145996,0.26122546195983887,0.24151015281677246,0.2537877559661865,0.278958797454834,0.2388160228729248,0.24899935722351074,0.2716188430786133,0.2389974594116211,0.2766289710998535,0.24200010299682617,0.24100136756896973,0.24601078033447266,0.24399137496948242,0.2559988498687744,0.24312925338745117,0.2849080562591553,0.23904967308044434,0.24403715133666992,0.24816036224365234,0.2419722080230713,0.2760426998138428,0.27707719802856445,0.25607895851135254,0.23784232139587402,0.2679572105407715,0.2625124454498291,0.2396838665008545,0.2863953113555908,0.24240922927856445,0.2539255619049072,0.2420651912689209,0.24421238899230957,0.2900357246398926,0.24199914932250977,0.2435615062713623,0.2418355941772461,0.24599862098693848,0.2579965591430664,0.2409989833831787,0.2619361877441406,0.24332547187805176,0.2638404369354248,0.265958309173584,0.24868369102478027,0.32300496101379395,0.24199748039245605,0.4281635284423828,0.2674906253814697,0.24164152145385742,0.24541115760803223,0.34612560272216797,0.259033203125,0.24266600608825684,0.24996042251586914,0.24103951454162598,0.39076924324035645"
25,-1,0.42413378,0.24065089,13.043917,48,"0.3052706718444824,0.29903483390808105,0.2458970546722412,0.4009978771209717,0.4241337776184082,0.27590012550354004,0.2846486568450928,0.24483680725097656,0.33699560165405273,0.35808372497558594,0.31165409088134766,0.37356114387512207,0.2976851463317871,0.2440018653869629,0.25301313400268555,0.26003336906433105,0.24197030067443848,0.24073052406311035,0.25396037101745605,0.269672155380249,0.24496197700500488,0.27387332916259766,0.24233698844909668,0.2441108226776123,0.246368408203125,0.24065089225769043,0.3556187152862549,0.24164700508117676,0.25400495529174805,0.24560284614562988,0.24201178550720215,0.2806742191314697,0.24355030059814453,0.26466965675354004,0.24896454811096191,0.24263238906860352,0.2440323829650879,0.24300479888916016,0.2969992160797119,0.24367117881774902,0.24700140953063965,0.24103856086730957,0.24179410934448242,0.27466917037963867,0.2409355640411377,0.246964693069458,0.24700164794921875,0.2430431842803955"
26,-1,0.34565163,0.23865795,9.743929,38,"0.2741281986236572,0.24411630630493164,0.26396656036376953,0.2447199821472168,0.25687289237976074,0.24312949180603027,0.24083447456359863,0.29316186904907227,0.2461090087890625,0.2624938488006592,0.24699950218200684,0.24485468864440918,0.24551153182983398,0.24210715293884277,0.29763221740722656,0.2429964542388916,0.2430121898651123,0.24270176887512207,0.24873137474060059,0.3046705722808838,0.23935794830322266,0.34565162658691406,0.24796581268310547,0.24503159523010254,0.2500019073486328,0.23903465270996094,0.32500171661376953,0.24022722244262695,0.24996423721313477,0.2460620403289795,0.23865795135498047,0.2675457000732422,0.24155783653259277,0.26000070571899414,0.24174785614013672,0.2451798915863037,0.2501552104949951,0.2420353889465332"
27,-1,0.53553605,0.23872066,20.506935,74,"0.2760028839111328,0.23996305465698242,0.24766135215759277,0.2827107906341553,0.24199414253234863,0.2500443458557129,0.24700045585632324,0.25299930572509766,0.24462532997131348,0.30889010429382324,0.27973079681396484,0.2585434913635254,0.5355360507965088,0.5218198299407959,0.2634000778198242,0.3081042766571045,0.2510068416595459,0.333756685256958,0.26996326446533203,0.27201008796691895,0.23872065544128418,0.2569751739501953,0.459613561630249,0.4116482734680176,0.24799466133117676,0.30996179580688477,0.252002477645874,0.25999903678894043,0.2928004264831543,0.3101670742034912,0.2431025505065918,0.24404120445251465,0.265378475189209,0.2579996585845947,0.27684736251831055,0.24271249771118164,0.2520723342895508,0.24300217628479004,0.2629992961883545,0.34624242782592773,0.2549750804901123,0.2862725257873535,0.2424147129058838,0.24568581581115723,0.23997116088867188,0.23975872993469238,0.2409963607788086,0.2519974708557129,0.25311875343322754,0.23999977111816406,0.29134249687194824,0.3080015182495117,0.25800132751464844,0.35693955421447754,0.25080370903015137,0.28870201110839844,0.2400369644165039,0.30196595191955566,0.2470228672027588,0.2460002899169922,0.24803566932678223,0.2429981231689453,0.2586369514465332,0.24218010902404785,0.26098132133483887,0.25203442573547363,0.253037691116333,0.2469637393951416,0.240264892578125,0.24471354484558105,0.3390371799468994,0.274033784866333,0.2429978847503662,0.3169674873352051"
28,-1,0.28599858,0.23830628,3.0657103,12,"0.2740018367767334,0.27859926223754883,0.24296236038208008,0.24303078651428223,0.2599642276763916,0.24474263191223145,0.2859985828399658,0.242814302444458,0.24471712112426758,0.24790048599243164,0.23830628395080566,0.26267242431640625"
29,-1,0.5769968,0.23670983,13.284156,44,"0.24245381355285645,0.289309024810791,0.24260902404785156,0.24231743812561035,0.2507457733154297,0.24399900436401367,0.3564631938934326,0.23789167404174805,0.3750016689300537,0.23999285697937012,0.24063897132873535,0.2499406337738037,0.2410144805908203,0.2903404235839844,0.25858020782470703,0.32013559341430664,0.30385446548461914,0.5242805480957031,0.3582942485809326,0.28754639625549316,0.3847029209136963,0.3180387020111084,0.3496890068054199,0.26720452308654785,0.3586711883544922,0.31099820137023926,0.5769968032836914,0.3009791374206543,0.2755317687988281,0.2830934524536133,0.2834737300872803,0.27268433570861816,0.3050234317779541,0.2772402763366699,0.2839946746826172,0.27095985412597656,0.3528461456298828,0.2730391025543213,0.31799912452697754,0.41199588775634766,0.23856186866760254,0.2540009021759033,0.2367098331451416,0.28431248664855957"
