,result,max_time,min_time,total_thinking_time,total_move,thinking_time
26,-1,0.33761358,0.23396373,19.576576,79,"0.23861026763916016,0.23499679565429688,0.2616465091705322,0.23903298377990723,0.23700380325317383,0.23865747451782227,0.23846220970153809,0.2750890254974365,0.23456668853759766,0.2509949207305908,0.24321746826171875,0.2390151023864746,0.2526543140411377,0.2380378246307373,0.24364399909973145,0.25218653678894043,0.2369997501373291,0.2610342502593994,0.2617502212524414,0.23798465728759766,0.23764586448669434,0.24000144004821777,0.27002811431884766,0.23518061637878418,0.23709368705749512,0.2600381374359131,0.23959827423095703,0.27100038528442383,0.2339637279510498,0.24299907684326172,0.23787569999694824,0.23899412155151367,0.24748969078063965,0.24996519088745117,0.33299779891967773,0.2368943691253662,0.23870086669921875,0.24004387855529785,0.23541593551635742,0.28600049018859863,0.2350006103515625,0.2551870346069336,0.2366161346435547,0.24514484405517578,0.337613582611084,0.23699593544006348,0.24665188789367676,0.24702191352844238,0.23467302322387695,0.242964506149292,0.23581409454345703,0.2412874698638916,0.2447662353515625,0.23500990867614746,0.26128339767456055,0.24199891090393066,0.24260687828063965,0.24665379524230957,0.2597086429595947,0.2559988498687744,0.23399877548217773,0.2530343532562256,0.24367618560791016,0.23599958419799805,0.24018263816833496,0.23796486854553223,0.24831008911132812,0.23599910736083984,0.26786041259765625,0.30100083351135254,0.23800921440124512,0.24400043487548828,0.24904966354370117,0.23699951171875,0.2373957633972168,0.23999691009521484,0.23959612846374512,0.24496078491210938,0.23803114891052246"
27,-1,0.30293608,0.23791552,4.7557116,19,"0.26557254791259766,0.2389984130859375,0.257171630859375,0.24199438095092773,0.23903822898864746,0.2646212577819824,0.238938570022583,0.23914670944213867,0.2429981231689453,0.24300265312194824,0.2921609878540039,0.24434614181518555,0.25089406967163086,0.23818659782409668,0.2379155158996582,0.23950815200805664,0.2393202781677246,0.3029360771179199,0.23896121978759766"
28,-1,0.28099942,0.23859072,1.523557,6,"0.25996971130371094,0.23900151252746582,0.23859071731567383,0.28099942207336426,0.26199936866760254,0.2429962158203125"
29,1,0.2907729,0.23504162,3.214606,13,"0.24000000953674316,0.23871636390686035,0.26900339126586914,0.23803091049194336,0.2490401268005371,0.23665547370910645,0.24363231658935547,0.24303483963012695,0.23703527450561523,0.2907729148864746,0.23504161834716797,0.24260759353637695,0.251035213470459"
30,-1,0.28873348,0.23699689,1.48644,6,"0.23706960678100586,0.24364256858825684,0.23999881744384766,0.23699688911437988,0.28873348236083984,0.23999857902526855"
31,-1,0.26064777,0.2379961,1.4785435,6,"0.23799896240234375,0.2499995231628418,0.2432847023010254,0.24861645698547363,0.23799610137939453,0.2606477737426758"
32,-1,0.30399346,0.23799944,1.5357618,6,"0.24392962455749512,0.23799943923950195,0.30399346351623535,0.2410116195678711,0.24179506301879883,0.2670326232910156"
33,1,0.2987411,0.23699808,3.296569,13,"0.2369980812072754,0.29874110221862793,0.25949788093566895,0.23999977111816406,0.25299811363220215,0.2376255989074707,0.2619946002960205,0.24499940872192383,0.28470396995544434,0.23713159561157227,0.2389981746673584,0.26501035690307617,0.237870454788208"
34,-1,0.28205466,0.23700023,1.499608,6,"0.2410881519317627,0.2820546627044678,0.239302396774292,0.2370002269744873,0.25699543952941895,0.24316716194152832"
35,-1,0.25657701,0.23762894,1.4771395,6,"0.2565770149230957,0.23762893676757812,0.24000024795532227,0.24793148040771484,0.24300360679626465,0.2519981861114502"
36,-1,0.33899856,0.23500204,16.381401,66,"0.2500791549682617,0.2406773567199707,0.2599904537200928,0.2389974594116211,0.24596500396728516,0.2409992218017578,0.2386789321899414,0.25700998306274414,0.23819923400878906,0.280963659286499,0.28905725479125977,0.2380354404449463,0.24626970291137695,0.2369990348815918,0.25099825859069824,0.2390003204345703,0.2370319366455078,0.2386033535003662,0.23800086975097656,0.23999834060668945,0.2370002269744873,0.24503135681152344,0.276979923248291,0.23570585250854492,0.250852108001709,0.2369997501373291,0.23803257942199707,0.2626190185546875,0.23665666580200195,0.2579638957977295,0.23681139945983887,0.2437272071838379,0.24065566062927246,0.2350020408630371,0.32599854469299316,0.23599910736083984,0.23627376556396484,0.2562446594238281,0.23900389671325684,0.24176263809204102,0.2370436191558838,0.2560250759124756,0.2360079288482666,0.23761773109436035,0.2460033893585205,0.2411048412322998,0.33899855613708496,0.2359616756439209,0.2431046962738037,0.23765277862548828,0.23599886894226074,0.26166772842407227,0.23799538612365723,0.2397923469543457,0.23799633979797363,0.24071979522705078,0.265972375869751,0.2411186695098877,0.26596689224243164,0.2389986515045166,0.24399876594543457,0.2794206142425537,0.2356271743774414,0.2383410930633545,0.25795984268188477,0.23543119430541992"
37,-1,0.2820406,0.23730373,2.7258372,11,"0.2411365509033203,0.24095654487609863,0.24154996871948242,0.24700140953063965,0.23996376991271973,0.2820405960083008,0.24266505241394043,0.25099873542785645,0.23958563804626465,0.2373037338256836,0.2626352310180664"
38,-1,0.2470038,0.23699665,1.4451101,6,"0.23699665069580078,0.23999953269958496,0.23905062675476074,0.24202394485473633,0.24700379371643066,0.2400355339050293"
39,-1,0.25505924,0.23537254,1.444263,6,"0.23888373374938965,0.23603463172912598,0.25505924224853516,0.24005675315856934,0.23537254333496094,0.23885607719421387"
40,-1,0.27897453,0.2342515,8.17568,33,"0.24404191970825195,0.23804759979248047,0.2719995975494385,0.23734784126281738,0.24108433723449707,0.2506754398345947,0.2376260757446289,0.2536609172821045,0.2370014190673828,0.23563218116760254,0.23505139350891113,0.23665165901184082,0.2680337429046631,0.23709845542907715,0.2342514991760254,0.24367690086364746,0.2623603343963623,0.2571103572845459,0.2409980297088623,0.24200892448425293,0.26299595832824707,0.23896098136901855,0.24703526496887207,0.2539641857147217,0.25650882720947266,0.24200081825256348,0.26599788665771484,0.2360365390777588,0.2789745330810547,0.2699856758117676,0.23799896240234375,0.2418651580810547,0.2389967441558838"
41,-1,0.3010006,0.2359991,2.8197193,11,"0.23599910736083984,0.2782161235809326,0.23615169525146484,0.2500014305114746,0.29003143310546875,0.23899483680725098,0.23761892318725586,0.2491457462310791,0.30100059509277344,0.26151514053344727,0.241044282913208"
42,-1,0.28091812,0.23593354,2.7391617,11,"0.2516205310821533,0.2372725009918213,0.2809181213378906,0.2460026741027832,0.2359943389892578,0.23593354225158691,0.2591681480407715,0.2579481601715088,0.2554476261138916,0.23685503005981445,0.24200105667114258"
43,-1,0.29200244,0.23618865,1.5308025,6,"0.2384178638458252,0.29200243949890137,0.23618865013122559,0.24000096321105957,0.24488091468811035,0.2793116569519043"
44,-1,0.40298748,0.23500705,14.715731,56,"0.23599934577941895,0.2638092041015625,0.25074100494384766,0.23512840270996094,0.2870004177093506,0.2389988899230957,0.252030611038208,0.25396132469177246,0.23999762535095215,0.28049302101135254,0.24099946022033691,0.29599952697753906,0.2818338871002197,0.2693157196044922,0.2367098331451416,0.24196457862854004,0.4029874801635742,0.24300146102905273,0.2624783515930176,0.2386488914489746,0.2670021057128906,0.2969975471496582,0.280275821685791,0.24277448654174805,0.2380962371826172,0.2647056579589844,0.25519704818725586,0.24779820442199707,0.2696497440338135,0.34400081634521484,0.2559630870819092,0.24499726295471191,0.25800037384033203,0.29003334045410156,0.2810354232788086,0.23530316352844238,0.251997709274292,0.23999881744384766,0.24199891090393066,0.2580687999725342,0.23999762535095215,0.33342766761779785,0.23999881744384766,0.2959473133087158,0.24696040153503418,0.2798893451690674,0.2481076717376709,0.23500704765319824,0.24500679969787598,0.3070671558380127,0.27962613105773926,0.25299715995788574,0.23700451850891113,0.24669718742370605,0.23700213432312012,0.27499961853027344"
45,1,0.27396345,0.23571992,3.195814,13,"0.24855947494506836,0.23999786376953125,0.2553267478942871,0.23571991920471191,0.23633980751037598,0.24266815185546875,0.23703360557556152,0.24845457077026367,0.2400352954864502,0.26030707359313965,0.27396345138549805,0.23865747451782227,0.23875045776367188"
46,-1,0.28895903,0.23315811,8.581348,35,"0.24899697303771973,0.24841666221618652,0.2401888370513916,0.2669987678527832,0.23880386352539062,0.23799920082092285,0.23769783973693848,0.23796415328979492,0.24866724014282227,0.2889590263366699,0.23891234397888184,0.23800206184387207,0.26302552223205566,0.23666954040527344,0.23461079597473145,0.2850008010864258,0.23666048049926758,0.2395620346069336,0.2496187686920166,0.23999953269958496,0.24464750289916992,0.23799872398376465,0.23895740509033203,0.2379910945892334,0.23711752891540527,0.2500011920928955,0.23965215682983398,0.24000096321105957,0.23758816719055176,0.23315811157226562,0.26999878883361816,0.23496341705322266,0.23909258842468262,0.24681520462036133,0.23661017417907715"
47,-1,0.265651,0.23465347,1.4943509,6,"0.24099993705749512,0.25662755966186523,0.24503731727600098,0.26565098762512207,0.25138163566589355,0.23465347290039062"
48,-1,0.2970879,0.23899674,1.5337133,6,"0.2970879077911377,0.2519991397857666,0.2476346492767334,0.2389976978302002,0.2389967441558838,0.25899720191955566"
49,-1,0.25999784,0.24026942,1.4859607,6,"0.2449951171875,0.2520749568939209,0.2599978446960449,0.24262189865112305,0.2460014820098877,0.24026942253112793"
